seed, total_score, max_chain, chain_events
29876, 1640, 3, "[1,1,3,1,2,1]"
6590, 6030, 4, "[2,1,1,1,2,3,2,1,4]"
16238, 220, 1, "[1,1]"
24172, 120, 1, "[1,1,1]"
5244, 40, 1, "[1]"
20478, 440, 1, "[1,1,1,1,1,1]"
9192, 13960, 6, "[1,1,6,1,1,2,2,1,1,3,3]"
10535, 1600, 2, "[1,2,1,2,1,1,1,1,1,1,1,1,1]"
4794, 940, 2, "[1,1,2,1,1]"
10539, 80, 1, "[1,1]"
31994, 2100, 2, "[1,2,1,1,2,2,2]"
23988, 40, 1, "[1]"
23463, 1280, 3, "[1,1,1,3,1]"
24655, 80, 1, "[1,1]"
12223, 0, 0, "[]"
28466, 500, 2, "[2,1,1]"
16726, 12120, 6, "[1,1,6,1,1,2,1,1,3,1,2,1,1,1]"
12592, 0, 0, "[]"
22493, 80, 1, "[1,1]"
9481, 680, 2, "[1,2,1,1]"
20661, 0, 0, "[]"
19656, 9710, 5, "[1,5]"
13738, 40, 1, "[1]"
4511, 1680, 2, "[1,1,1,2,1,2,1,1,2,1]"
12679, 140, 1, "[1,1]"
17130, 4100, 4, "[1,1,1,1,2,1,4,1,1]"
11837, 40, 1, "[1]"
21889, 0, 0, "[]"
15786, 0, 0, "[]"
14454, 0, 0, "[]"
24536, 10670, 6, "[1,1,6,1,1,1,1,2]"
5091, 440, 2, "[1,2,1]"
12138, 40, 1, "[1]"
20118, 23260, 7, "[1,1,1,1,1,7,1,1]"
19752, 160, 1, "[1,1,1,1]"
6432, 20540, 7, "[1,1,1,1,1,2,7,1,1,2,1,3]"
16399, 40, 1, "[1]"
13499, 400, 2, "[1,2]"
21904, 16440, 7, "[7,1,1,2]"
22772, 500, 2, "[1,1,2]"
20300, 80, 1, "[1,1]"
19078, 0, 0, "[]"
31530, 120, 1, "[1,1,1]"
3578, 360, 2, "[2]"
13680, 440, 2, "[2,1,1]"
32470, 40, 1, "[1]"
18654, 120, 1, "[1,1,1]"
26846, 120, 1, "[1,1,1]"
21755, 120, 1, "[1,1,1]"
15728, 40, 1, "[1]"
6173, 600, 2, "[1,1,1,2]"
2042, 1320, 3, "[3]"
10212, 40, 1, "[1]"
29753, 40, 1, "[1]"
28106, 40, 1, "[1]"
626, 40, 1, "[1]"
29205, 13360, 6, "[1,1,2,1,1,1,2,6,1]"
24536, 40, 1, "[1]"
22370, 0, 0, "[]"
31056, 580, 1, "[1,1,1,1,1,1,1,1]"
28227, 80, 1, "[1,1]"
14525, 140, 1, "[1,1]"
21280, 760, 2, "[1,1,1,2,1]"
17392, 560, 1, "[1,1,1,1,1,1,1,1,1]"
12476, 440, 1, "[1,1,1,1,1]"
11344, 120, 1, "[1,1,1]"
22532, 560, 2, "[2,1,1]"
2005, 400, 2, "[1,2]"
28405, 0, 0, "[]"
1190, 40, 1, "[1]"
30087, 440, 1, "[1,1,1,1,1,1,1,1]"
24298, 0, 0, "[]"
22569, 0, 0, "[]"
29549, 220, 1, "[1,1]"
3965, 7080, 5, "[1,2,1,5,1,1,1,1,1,1,2,1,2,1,1,2]"
27225, 0, 0, "[]"
12665, 7370, 4, "[2,1,4,1,1,1,2,1,3]"
20424, 1880, 3, "[1,1,1,1,1,1,3,1,2]"
13397, 180, 1, "[1,1,1]"
18391, 0, 0, "[]"
1656, 80, 1, "[1,1]"
29192, 0, 0, "[]"
24771, 620, 2, "[1,1,2,1]"
19013, 0, 0, "[]"
8405, 2260, 3, "[1,1,2,2,3,1,1]"
7671, 0, 0, "[]"
646, 80, 1, "[1,1]"
13755, 120, 1, "[1,1,1]"
9676, 1740, 2, "[1,2,1,1,1,2,1,1,1]"
1013, 6440, 4, "[1,1,1,1,4,1,1,2,1,1,2,1,1,1,2,1,1,1,3]"
17204, 7780, 4, "[1,1,1,1,1,1,2,4,1,1,3,1,3,1,1,3]"
5030, 40, 1, "[1]"
15466, 19330, 7, "[3,1,7]"
29566, 4320, 4, "[1,1,4,1,3]"
22495, 40, 1, "[1]"
3801, 40, 1, "[1]"
25669, 160, 1, "[1,1,1,1]"
7559, 17220, 6, "[1,1,1,6,1,1,2,1,2,1,3,3,1]"
16022, 440, 2, "[1,1,2]"
19050, 220, 1, "[1,1,1,1]"
